code,province,city,country,name,level
110000,11,00,00,北京市,1
110100,11,01,00,市辖区,2
110101,11,01,01,东城区,3
110102,11,01,02,西城区,3
110105,11,01,05,朝阳区,3
110106,11,01,06,丰台区,3
110107,11,01,07,石景山区,3
110108,11,01,08,海淀区,3
110109,11,01,09,门头沟区,3
110111,11,01,11,房山区,3
110112,11,01,12,通州区,3
110113,11,01,13,顺义区,3
110114,11,01,14,昌平区,3
110115,11,01,15,大兴区,3
110116,11,01,16,怀柔区,3
410000,41,00,00,河南省,1
410100,41,01,00,郑州市,2
410200,41,02,00,开封市,2
410300,41,03,00,洛阳市,2
410400,41,04,00,平顶山市,2
410500,41,05,00,安阳市,2
410600,41,06,00,鹤璧市,2
410700,41,07,00,新乡市,2
410800,41,08,00,焦作市,2
410322,41,03,22,孟津区,3
